时间轴	源量程	源程反应性	中间量程	中间反应性	功率量程	功率反应性	硼浓度PPM	D棒位	备注说明
标志->	0	7	1	7	2	7	5	3	3
16.200000	8.007634	0.000000	8.007634E-14	0.000000	2.302195E-14	0.000000	1.000000	112.500000	NaN
16.300000	13.181908	161.795965	1.318191E-13	161.795965	3.789798E-14	161.795965	1.000000	145.527523	NaN
16.400000	9.690921	161.795965	9.690921E-14	161.795965	2.786140E-14	161.795965	1.000000	145.527523	NaN
16.500000	12.531269	161.795965	1.253127E-13	161.795965	3.602740E-14	161.795965	1.000000	145.527523	NaN
16.600000	10.711780	161.795965	1.071178E-13	161.795965	3.079637E-14	161.795965	1.000000	145.527523	NaN
16.700000	12.295247	161.795965	1.229525E-13	161.795965	3.534883E-14	161.795965	1.000000	145.527523	NaN
16.800000	11.372531	161.795965	1.137253E-13	161.795965	3.269603E-14	161.795965	1.000000	145.527523	NaN
16.900000	12.278560	161.795965	1.227856E-13	161.795965	3.530086E-14	161.795965	1.000000	145.527523	NaN
17.000000	11.836456	161.795965	1.183646E-13	161.795965	3.402981E-14	161.795965	1.000000	145.527523	NaN
17.100000	12.376902	161.795965	1.237690E-13	161.795965	3.558359E-14	161.795965	1.000000	145.527523	NaN
17.200000	12.191967	161.795965	1.219197E-13	161.795965	3.505190E-14	161.795965	1.000000	145.527523	NaN
17.300000	12.534766	161.795965	1.253477E-13	161.795965	3.603745E-14	161.795965	1.000000	145.527523	NaN
17.400000	12.487116	161.795965	1.248712E-13	161.795965	3.590046E-14	161.795965	1.000000	145.527523	NaN
17.500000	12.722785	161.795965	1.272279E-13	161.795965	3.657801E-14	161.795965	1.000000	145.527523	NaN
17.600000	12.748173	161.795965	1.274817E-13	161.795965	3.665100E-14	161.795965	1.000000	145.527523	NaN
17.700000	12.925564	161.795965	1.292556E-13	161.795965	3.716100E-14	161.795965	1.000000	145.527523	NaN
17.800000	12.989620	161.795965	1.298962E-13	161.795965	3.734516E-14	161.795965	1.000000	145.527523	NaN
17.900000	13.135152	161.795965	1.313515E-13	161.795965	3.776356E-14	161.795965	1.000000	145.527523	NaN
18.000000	13.219539	161.795965	1.321954E-13	161.795965	3.800618E-14	161.795965	1.000000	145.527523	NaN
18.100000	13.347547	161.795965	1.334755E-13	161.795965	3.837420E-14	161.795965	1.000000	145.527523	NaN
18.200000	13.442525	161.795965	1.344252E-13	161.795965	3.864726E-14	161.795965	1.000000	145.527523	NaN
18.300000	13.560822	161.795965	1.356082E-13	161.795965	3.898736E-14	161.795965	1.000000	145.527523	NaN
18.400000	13.661250	161.795965	1.366125E-13	161.795965	3.927610E-14	161.795965	1.000000	145.527523	NaN
18.500000	13.774127	161.795965	1.377413E-13	161.795965	3.960062E-14	161.795965	1.000000	145.527523	NaN
18.600000	13.877326	161.795965	1.387733E-13	161.795965	3.989731E-14	161.795965	1.000000	145.527523	NaN
18.700000	13.987163	161.795965	1.398716E-13	161.795965	4.021309E-14	161.795965	1.000000	145.527523	NaN
18.800000	14.091760	161.795965	1.409176E-13	161.795965	4.051381E-14	161.795965	1.000000	145.527523	NaN
18.900000	14.199901	161.795965	1.419990E-13	161.795965	4.082472E-14	161.795965	1.000000	145.527523	NaN
19.000000	14.305214	161.795965	1.430521E-13	161.795965	4.112749E-14	161.795965	1.000000	145.527523	NaN
19.100000	14.412434	161.795965	1.441243E-13	161.795965	4.143575E-14	161.795965	1.000000	145.527523	NaN
19.200000	14.518146	161.795965	1.451815E-13	161.795965	4.173967E-14	161.795965	1.000000	145.527523	NaN
19.300000	14.624907	161.795965	1.462491E-13	161.795965	4.204661E-14	161.795965	1.000000	145.527523	NaN
19.400000	14.730889	161.795965	1.473089E-13	161.795965	4.235131E-14	161.795965	1.000000	145.527523	NaN
19.500000	14.837476	161.795965	1.483748E-13	161.795965	4.265774E-14	161.795965	1.000000	145.527523	NaN
19.600000	14.943695	161.795965	1.494369E-13	161.795965	4.296312E-14	161.795965	1.000000	145.527523	NaN
19.700000	15.050296	161.795965	1.505030E-13	161.795965	4.326960E-14	161.795965	1.000000	145.527523	NaN
19.800000	15.156763	161.795965	1.515676E-13	161.795965	4.357569E-14	161.795965	1.000000	145.527523	NaN
